time,Vm
0.0,-86.7286939421
1.0000000000000007,-86.72013899207123
2.0000000000000013,-86.71453043115685
3.00999999999998,-86.7096323821838
4.019999999999959,-86.70479501355886
5.029999999999937,-86.69964155312223
6.029999999999999,-86.69404179117377
7.039999999999978,-86.68779948487138
8.049999999999956,-86.68094005953405
9.059999999999935,-86.67346692067565
10.069999999999913,-86.66539983205625
11.079999999999892,-86.65676662057145
12.01,-86.6483434473886
12.119999999999997,-86.64731834908491
12.229999999999995,-86.6462873003099
12.339999999999993,-86.64525034201345
12.44999999999999,-86.64420751593083
12.559999999999988,-86.6431588635312
12.669999999999986,-86.64210442608858
12.779999999999983,-86.64104424471041
12.889999999999981,-86.6399783603465
12.999999999999979,-86.63890681378876
13.109999999999976,-86.63782964566698
13.219999999999974,-86.63674689644306
13.329999999999972,-86.63565860640466
13.43999999999997,-86.63456481565913
13.549999999999967,-86.63346556412735
13.659999999999965,-86.63236089153844
13.769999999999962,-86.63125083742433
13.87999999999996,-86.63013544111526
13.989999999999958,-86.62901474173525
14.099999999999955,-86.62788877819823
14.209999999999953,-86.62675758920439
14.31999999999995,-86.62562121323698
14.429999999999948,-86.62447968855923
14.539999999999946,-86.62333305321172
14.649999999999944,-86.6221813450101
14.759999999999941,-86.62102460154281
14.869999999999939,-86.61986286016925
14.979999999999936,-86.6186961580182
15.089999999999934,-86.61752453198628
15.199999999999932,-86.61634801873676
15.30999999999993,-86.61516665469851
15.419999999999927,-86.6139804760651
15.529999999999925,-86.61278951879414
15.639999999999922,-86.61159381860668
15.74999999999992,-86.6103934109868
15.859999999999918,-86.60918833118137
15.969999999999915,-86.60797861419984
16.0799999999999,-86.60676429481427
16.189999999999877,-86.60554540755936
16.299999999999855,-86.60432198673263
16.409999999999833,-86.60309406639476
16.51999999999981,-86.60186168036984
16.62999999999979,-86.60062486224595
16.739999999999768,-86.59938364537555
16.849999999999746,-86.59813806287623
16.959999999999724,-86.59688814763119
17.069999999999702,-86.59563393229016
17.17999999999968,-86.59437544926999
17.289999999999658,-86.59311273075569
17.399999999999636,-86.59184580870111
17.509999999999614,-86.59057471483005
17.619999999999592,-86.58929948063712
17.72999999999957,-86.5880201373888
17.83999999999955,-86.58673671612453
17.949999999999527,-86.58544924765768
